Code,Name,Semester,DepartmentId,Course
CS101,C Programming,1,1,B.Tech
CS102,Engineering Math I,1,1,B.Tech
CS103,Physics I,1,1,B.Tech
CS104,Basic Electrical,1,1,B.Tech
CS105,Engg Graphics,1,1,B.Tech
CS201,Data Structures,2,1,B.Tech
CS202,Engineering Math II,2,1,B.Tech
CS203,Physics II,2,1,B.Tech
CS204,Digital Electronics,2,1,B.Tech
CS205,Workshop,2,1,B.Tech
CS301,Object Oriented Prog,3,1,B.Tech
CS302,Discrete Math,3,1,B.Tech
CS303,Computer Organization,3,1,B.Tech
CS304,Software Engineering,3,1,B.Tech
CS305,Microprocessors,3,1,B.Tech
CS401,Design and Analysis of Algos,4,1,B.Tech
CS402,Database Systems,4,1,B.Tech
CS403,Operating Systems,4,1,B.Tech
CS404,Computer Networks,4,1,B.Tech
CS405,Automata Theory,4,1,B.Tech
CS501,Web Technologies,5,1,B.Tech
CS502,Theory of Computation,5,1,B.Tech
CS503,Microcontrollers,5,1,B.Tech
CS504,System Software,5,1,B.Tech
CS505,AI,5,1,B.Tech
CS601,Artificial Intelligence,6,1,B.Tech
CS602,Compiler Design,6,1,B.Tech
CS603,Computer Graphics,6,1,B.Tech
CS604,Machine Learning,6,1,B.Tech
CS605,Data Mining,6,1,B.Tech
CS701,Cloud Computing,7,1,B.Tech
CS702,Cryptography,7,1,B.Tech
CS703,Big Data Analytics,7,1,B.Tech
CS704,NLP,7,1,B.Tech
CS705,Cyber Security,7,1,B.Tech
CS801,Project I,8,1,B.Tech
CS802,Internet of Things,8,1,B.Tech
CS803,Blockchain,8,1,B.Tech
CS804,Deep Learning,8,1,B.Tech
CS805,Quantum Computing,8,1,B.Tech
ME101,Engineering Graphics,1,2,B.Tech
ME102,Mechanics I,1,2,B.Tech
ME103,Math I,1,2,B.Tech
ME104,Physics I,1,2,B.Tech
ME105,Basic Electrical,1,2,B.Tech
ME201,Thermodynamics,2,2,B.Tech
ME202,Mechanics II,2,2,B.Tech
ME203,Math II,2,2,B.Tech
ME204,Physics II,2,2,B.Tech
ME205,Basic Civil,2,2,B.Tech
ME301,Fluid Mechanics,3,2,B.Tech
ME302,Material Science,3,2,B.Tech
ME303,Kinematics,3,2,B.Tech
ME304,Manufacturing,3,2,B.Tech
ME305,Strength of Materials,3,2,B.Tech
ME401,Heat Transfer,4,2,B.Tech
ME402,Dynamics of Machinery,4,2,B.Tech
ME403,Machine Design I,4,2,B.Tech
ME404,IC Engines,4,2,B.Tech
ME405,Mechatronics,4,2,B.Tech
ME501,Machine Design II,5,2,B.Tech
ME502,CAD/CAM,5,2,B.Tech
ME503,Turbo Machines,5,2,B.Tech
ME504,Fluid Machinery,5,2,B.Tech
ME505,Metrology,5,2,B.Tech
ME601,Refrigeration,6,2,B.Tech
ME602,Finite Element Analysis,6,2,B.Tech
ME603,Operations Research,6,2,B.Tech
ME604,Automobile Engg,6,2,B.Tech
ME605,Robotics,6,2,B.Tech
ME701,Power Plant Engg,7,2,B.Tech
ME702,Automation,7,2,B.Tech
ME703,Plant Layout,7,2,B.Tech
ME704,Supply Chain,7,2,B.Tech
ME705,Industrial Automation,7,2,B.Tech
ME801,Project I,8,2,B.Tech
ME802,Industrial Safety,8,2,B.Tech
ME803,Energy Mgmt,8,2,B.Tech
ME804,Reliability Engg,8,2,B.Tech
ME805,Total Quality Mgmt,8,2,B.Tech
CE101,Building Materials,1,3,B.Tech
CE102,Math I,1,3,B.Tech
CE103,Mechanics I,1,3,B.Tech
CE104,Physics I,1,3,B.Tech
CE105,English,1,3,B.Tech
CE201,Surveying I,2,3,B.Tech
CE202,Math II,2,3,B.Tech
CE203,Mechanics II,2,3,B.Tech
CE204,Physics II,2,3,B.Tech
CE205,Chemistry,2,3,B.Tech
CE301,Fluid Mechanics,3,3,B.Tech
CE302,Surveying II,3,3,B.Tech
CE303,Concrete Tech,3,3,B.Tech
CE304,Building Construction,3,3,B.Tech
CE305,Solid Mechanics,3,3,B.Tech
